"sec"	µA	"mV"
732.234	-0.848337658680975	0
733.246	-0.848337658680975	0
734.257	-0.848337658680975	0.0766191184520721
735.269	-0.766420504078269	0.0766191184520721
736.28	-0.848337658680975	0.114684671163559
737.292	-0.766420504078269	0.0380655489861965
738.303	-0.684503349475563	0.114684671163559
739.315	-0.848337658680975	0.0766191184520721
740.326	-0.848337658680975	0
741.338	-0.766420504078269	0.0766191184520721
742.349	-0.848337658680975	0.114684671163559
743.36	-0.848337658680975	0.0766191184520721
744.372	-0.766420504078269	0
745.383	-0.930254813283682	0.0766191184520721
746.395	-0.766420504078269	0
747.406	-0.848337658680975	0.114684671163559
748.418	-0.848337658680975	0.0380655489861965
749.429	-0.848337658680975	0
750.441	-0.766420504078269	-0.0380655489861965
751.451	-0.848337658680975	0.0766191184520721
752.462	-0.766420504078269	0.0380655489861965
753.474	-0.930254813283682	0.0766191184520721
754.485	-0.930254813283682	0.0766191184520721
755.497	-0.848337658680975	0.0766191184520721
756.508	-0.848337658680975	0.0380655489861965
757.52	-0.848337658680975	0.114684671163559
758.531	-0.766420504078269	0.0380655489861965
759.543	-0.766420504078269	0.0766191184520721
760.554	-0.848337658680975	0.0766191184520721
761.565	-0.848337658680975	0
762.577	-0.848337658680975	0.0766191184520721
763.588	-0.684503349475563	0.0766191184520721
764.6	-0.766420504078269	0.0766191184520721
765.611	-0.848337658680975	0.0766191184520721
766.623	-0.848337658680975	0.0766191184520721
767.634	-0.684503349475563	0
768.645	-0.930254813283682	0
769.657	-0.848337658680975	0
770.668	-0.848337658680975	0.0766191184520721
771.679	-0.848337658680975	0.0766191184520721
772.69	-0.766420504078269	0.0380655489861965
773.702	-0.766420504078269	0.0766191184520721
774.714	-0.848337658680975	0.0766191184520721
775.726	-0.766420504078269	0.0766191184520721
776.737	-0.848337658680975	0.114684671163559
777.749	-0.766420504078269	0.0766191184520721
778.76	-0.848337658680975	0.0766191184520721
779.77	-0.848337658680975	0.0380655489861965
780.782	-0.766420504078269	0.0766191184520721
781.792	-0.848337658680975	0
782.805	-0.684503349475563	0.0766191184520721
783.816	-0.766420504078269	0.0380655489861965
784.827	-0.766420504078269	0.0380655489861965
785.838	-0.848337658680975	0.0766191184520721
786.851	-0.848337658680975	0.0766191184520721
787.862	-0.848337658680975	0.0380655489861965
788.872	-0.684503349475563	0.114684671163559
789.884	-0.930254813283682	0.0766191184520721
790.894	-0.848337658680975	0.0766191184520721
791.906	-0.684503349475563	0.0766191184520721
792.918	-0.766420504078269	0.114684671163559
793.928	-0.930254813283682	0
794.941	-0.848337658680975	0.0766191184520721
795.953	-0.766420504078269	0.0380655489861965
796.964	-0.848337658680975	0.0766191184520721
797.974	-0.848337658680975	0.0766191184520721
798.986	-0.848337658680975	0.0380655489861965
799.997	-0.848337658680975	-0.0380655489861965
801.01	-0.930254813283682	0.0380655489861965
802.02	-0.848337658680975	0.0766191184520721
803.032	-0.848337658680975	0
804.044	-0.848337658680975	0.0380655489861965
805.056	-0.930254813283682	0.114684671163559
806.066	-0.930254813283682	0.0380655489861965
807.077	-0.848337658680975	0.114684671163559
808.089	-0.848337658680975	0
809.1	-0.848337658680975	0.0380655489861965
810.112	-0.848337658680975	0.0766191184520721
811.122	-0.684503349475563	0
812.135	-1.0951393051073	0.0380655489861965
813.145	-0.848337658680975	0.0766191184520721
814.158	-0.848337658680975	0.0766191184520721
815.169	-0.848337658680975	0.0766191184520721
816.179	-0.930254813283682	0.0766191184520721
817.191	-0.848337658680975	0.0380655489861965
818.202	-0.766420504078269	0.0766191184520721
819.214	-0.766420504078269	0.114684671163559
820.225	-0.848337658680975	-0.0380655489861965
821.238	-0.930254813283682	0.114684671163559
822.248	-0.848337658680975	0.0380655489861965
823.259	-0.848337658680975	0.0380655489861965
824.272	-0.766420504078269	0
825.282	-0.766420504078269	0.0766191184520721
826.294	-0.848337658680975	0
827.306	-0.930254813283682	0.114684671163559
828.317	-0.848337658680975	0.0766191184520721
829.329	-0.930254813283682	0.0766191184520721
830.339	-0.848337658680975	0.114684671163559
831.351	-0.848337658680975	0.114684671163559
832.362	-0.848337658680975	0.0766191184520721
833.373	-0.848337658680975	0.0766191184520721
834.385	-0.684503349475563	0.0380655489861965
835.397	-0.766420504078269	0
836.407	-0.848337658680975	0.114684671163559
837.42	-0.684503349475563	0
838.43	-0.848337658680975	0.0766191184520721
839.443	-0.848337658680975	0.0380655489861965
840.452	-0.848337658680975	0.0380655489861965
841.463	-0.848337658680975	0.0380655489861965
842.476	-0.848337658680975	0.0766191184520721
843.486	-0.766420504078269	0.0766191184520721
844.498	-0.766420504078269	0.0766191184520721
845.51	-0.930254813283682	0.0766191184520721
846.521	-0.930254813283682	0.0380655489861965
847.532	-0.848337658680975	0
848.544	-0.684503349475563	0.0766191184520721
849.555	-0.848337658680975	0.0766191184520721
850.566	-0.766420504078269	0.0766191184520721
851.577	-0.930254813283682	0.0766191184520721
852.589	-0.930254813283682	0.0766191184520721
853.6	-0.848337658680975	0.114684671163559
854.611	-0.766420504078269	0.0766191184520721
855.624	-0.848337658680975	0.0380655489861965
856.634	-0.766420504078269	0.0380655489861965
857.646	-0.848337658680975	0.0380655489861965
858.657	-0.848337658680975	0.0380655489861965
859.669	-0.848337658680975	0.0766191184520721
